state,x,y
Alabama,107,-58
Alaska,-167,-136
Arizona,-166,-32
Arkansas,41,-38
California,-240,14
Colorado,-95,20
Connecticut,239,80
Delaware,219,32
Florida,174,-112
Georgia,147,-64
Hawaii,-100,-169
Idaho,-176,98
Illinois,77,22
Indiana,108,35
Iowa,37,54
Kansas,-23,6
Kentucky,124,0
Louisiana,45,-93
Maine,259,136
Montana,-114,128
Nebraska,-26,46
Nevada,-203,34
New Hampshire,244,105
New Jersey,227,52
New Mexico,-109,-44
New York,212,88
North Carolina,183,-19
North Dakota,-44,125
Ohio,142,44
Oklahoma,-14,-34
Oregon,-236,111
Maryland,203,39
Massachusetts,241,88
Michigan,117,75
Minnesota,21,112
Mississippi,80,-66
Missouri,44,4
Pennsylvania,190,53
Rhode Island,249,80
South Carolina,174,-40
South Dakota,-30,89
Tennessee,110,-23
Texas,-29,-93
Utah,-153,29
Vermont,230,110
Virginia,184,6
Washington,-213,154
West Virginia,166,19
Wisconsin,67,85
Wyoming,-107,71
